track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,Hit_or_Flop,Era,id
Crooked Smile,Hella,spotify:track:0hXInI3PSbNNHDu2NbQGiU,0.571,0.744,7,-7.878,1,0.146,0.435,0.0,0.829,0.868,81.052,276284,4,35.225,13,0,10s,35952
5 D (Fifth Dimension),The Byrds,spotify:track:0aPGKvqf3M5BjjwQC3CIfR,0.184,0.528,2,-9.695,1,0.0357,0.381,0.000528,0.11,0.591,176.048,152760,3,39.65999,8,1,60s,4543
Won't Go Home Without You,Maroon 5,spotify:track:0tuyEYTaqLxE41yGHSsXjy,0.737,0.615,3,-3.76,1,0.0317,0.0149,0.0,0.102,0.41,110.023,231173,4,29.61786,12,1,00s,32139
Shake Me I Rattle (Squeeze Me I Cry),Marion Worth,spotify:track:4eopCNWd28woTQ2Fga52CF,0.468,0.16,8,-16.497,1,0.0282,0.67,0.0,0.313,0.519,94.298,193307,3,38.25207,11,1,60s,5319
Verão (Tiempo de Verano),Leno e Lilian,spotify:track:1be9kQyFxmKDDAbK9bDo2u,0.609,0.674,2,-11.545,1,0.0492,0.237,0.0256,0.309,0.91,141.538,138577,4,25.96555,7,0,70s,15297
Hypnotized,Oliver Koletzki,spotify:track:0V2GX0aukyZMt6nSMxfOJk,0.764,0.381,7,-11.845,1,0.0535,0.0458,0.714,0.18,0.298,122.988,340560,4,46.21502,13,0,00s,30275
Running Blood,Running Wild,spotify:track:03ox0tofZcbcyIBa5EdkTw,0.209,0.94,6,-5.218,0,0.158,0.0029,0.811,0.0945,0.0359,79.913,269067,4,47.61968,7,0,80s,22873
All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,spotify:track:0046quUYhSAFccrKIC3Iht,0.48,0.435,1,-9.959,1,0.0305,0.207,5.83e-06,0.196,0.328,144.435,284973,4,22.2119,14,1,80s,16829
Last Call,Lee Ann Womack,spotify:track:5DWmvAL8WPuncj8tSxFVNC,0.335,0.584,6,-7.089,1,0.0341,0.794,0.000195,0.0869,0.332,78.509,195467,4,21.46473,7,1,00s,31776
The Woman In You,Bee Gees,spotify:track:7EcsJXtKtUkzTa8mgjJKiE,0.809,0.491,9,-16.846,0,0.035,0.114,5.82e-06,0.0546,0.976,131.134,243933,4,42.8073,12,1,80s,16526
Vom Himmel hoch,Traditional,spotify:track:60Z7KnlNX15ZEfBKMrBOVo,0.172,0.272,3,-11.726,1,0.0354,0.985,0.0972,0.16,0.386,83.202,155440,1,51.5939,7,0,70s,9303
Sorry For Party Rocking,LMFAO,spotify:track:48kwdkeHEJEuMzcKklPv5b,0.6,0.877,5,-4.351,1,0.165,0.00213,0.0,0.413,0.55,133.998,203973,4,16.86094,11,1,10s,40193
If You've Got The Time,The Babys,spotify:track:0cxB9QxD5y6O16ltbalcZM,0.465,0.889,7,-6.339,1,0.0472,0.104,0.0,0.84,0.532,132.942,155067,4,23.12964,10,1,70s,15692
Somewhere Out There,Our Lady Peace,spotify:track:6fQJg7MdQssgZJDhTJtFtd,0.388,0.746,1,-5.306,1,0.0318,0.000563,0.0,0.0719,0.458,159.675,251333,4,47.22582,10,1,00s,31655
Multani Alap,Nikhil Banerjee,spotify:track:4lG29yDJ1aDjjdlkxGLzoT,0.18,0.0439,2,-28.242,1,0.0314,0.926,0.00114,0.168,0.0385,70.574,639467,1,57.28934,24,0,70s,9356
Death Rides a Horse - Version 2,Ennio Morricone,spotify:track:1FNsxBgjTsajTmh3FkliOi,0.63,0.842,2,-3.715,1,0.029,0.599,2.94e-06,0.118,0.539,93.892,122867,4,71.94053,4,0,60s,7964
Solar Plexus,Moebius,spotify:track:5qNVDWjcvYB0uAU5QUrne8,0.293,0.205,8,-22.88,0,0.138,0.335,0.0172,0.151,0.0682,122.604,295160,4,44.26276,13,0,80s,21580
Catch the Fallen,Belle Margaux,spotify:track:6IkVveERpptf8vTr7O1mN3,0.328,0.0173,4,-26.066,1,0.0362,0.926,0.855,0.111,0.236,66.354,83190,5,31.52272,5,0,10s,40571
Mama África,Chico César,spotify:track:6LIGU1z7M7GTbUxS6vYawX,0.79,0.731,1,-9.038,0,0.137,0.243,1.36e-05,0.324,0.926,80.467,228653,4,53.82006,10,0,90s,27888
Life of Sin,Sturgill Simpson,spotify:track:7oop0Rsh4jhdOtglVL3Dmf,0.499,0.699,4,-7.514,1,0.0702,0.175,6.12e-06,0.148,0.814,169.244,146107,4,19.09003,8,0,10s,37871
Home To You,John Michael Montgomery,spotify:track:7qNHVajTi58llklLm4dMeA,0.646,0.366,5,-11.183,1,0.0233,0.582,0.000228,0.128,0.272,90.338,209067,4,45.47809,8,1,00s,29937
Hollywood,Boz Scaggs,spotify:track:6JL2UkIGp5IyKgrLQrpDEo,0.71,0.658,9,-11.231,0,0.0346,0.144,5.57e-06,0.0722,0.937,106.878,189333,4,37.59299,8,1,70s,15652
No Arms Can Ever Hold You,Bobby Vinton,spotify:track:2Bw9DDKhseKHukQufooB3y,0.354,0.158,3,-12.745,1,0.0279,0.784,1.06e-05,0.213,0.209,80.743,151827,4,38.29835,8,1,70s,13629
You Mean The World To Me,Toni Braxton,spotify:track:1d0GYRpnCb0XNQcQdKhfKL,0.595,0.736,11,-6.648,1,0.0469,0.0964,9.28e-06,0.104,0.521,167.669,296400,4,28.32539,18,1,90s,23989
Before I Met You,Reba McEntire,spotify:track:1Vm55j5vZgto362VbLdhqq,0.546,0.393,1,-15.091,1,0.247,0.464,0.0,0.102,0.646,188.906,148800,4,41.23541,9,0,80s,20524
Take Time,Chris Walker,spotify:track:4h1uO4VGG5SDkiEaT4EG79,0.648,0.743,7,-9.595,0,0.0592,0.0799,0.0,0.125,0.81,97.059,260840,4,38.11362,13,1,90s,24031
Vou Recomeçar,Gal Costa,spotify:track:61dv1VL5ZPj1L9p3Ko9QEC,0.696,0.448,2,-13.402,1,0.0435,0.31,0.000204,0.0662,0.883,112.874,204600,4,34.10572,10,0,60s,7515
Senorita,Justin Timberlake,spotify:track:0aj2QKJvz6CePykmlTApiD,0.841,0.629,1,-5.351,1,0.0442,0.0729,0.0,0.0742,0.87,97.963,294867,4,38.04473,13,1,00s,31504
The Kitten And The Cat,Ralph Stanley,spotify:track:0UO84WfxqYGSh8XkO9U9PL,0.624,0.528,9,-10.759,1,0.0452,0.6,0.000845,0.28,0.717,132.336,118920,4,22.47498,8,0,70s,10852
Me And My Gang,Rascal Flatts,spotify:track:435sp9O64WY2P9DLMuBDCU,0.628,0.9,7,-3.719,1,0.0408,0.0775,0.0,0.0454,0.611,108.745,217987,4,19.55913,9,1,00s,32667
Save It,The Cramps,spotify:track:582ksKd8X2pWMYgLulnIiD,0.581,0.924,9,-6.317,1,0.0552,0.383,0.029,0.217,0.618,138.435,177267,4,40.35338,9,0,80s,22604
Last Train To London,Electric Light Orchestra,spotify:track:6xE6ZWzK1YDDSYzqOCoQlz,0.727,0.537,7,-9.785,1,0.0295,0.396,0.000789,0.349,0.954,121.493,270067,4,58.03029,9,1,80s,22835
The Time Has Come (Pikachu's Goodbye),Pokémon,spotify:track:6jOy7e1JqskcFqu73qp4BF,0.346,0.332,0,-8.017,1,0.036,0.582,0.0,0.0661,0.225,199.903,185507,4,40.60168,12,0,90s,23476
"Cello Suite No. 1 in G Major, BWV 1007: II. Allemande",Johann Sebastian Bach,spotify:track:7dGshs3Bzxe1B0vOIA0723,0.399,0.0374,7,-28.436,1,0.0629,0.961,0.839,0.0965,0.825,75.062,238853,4,36.08365,11,0,10s,35775
"God Rest Ye Merry, Gentlemen",Traditional,spotify:track:00r32apS17IQFidahJgUFQ,0.297,0.315,0,-16.762,0,0.0462,0.954,0.835,0.0945,0.627,160.17,171107,4,29.86604,10,0,60s,2803
Blue Winter,Connie Francis,spotify:track:3d3DdH3ZL7W8wRDVY0ST5C,0.451,0.496,11,-6.941,1,0.0297,0.813,0.0,0.0929,0.511,101.934,144960,4,23.48719,10,1,60s,1099
Afraid of Time,Hans Zimmer,spotify:track:1iXv2OfjDejcDP5lIb4YZr,0.251,0.00336,2,-38.793,0,0.0435,0.92,0.0234,0.119,0.0483,119.827,152673,3,18.35934,8,0,10s,39588
Agiborê - Ao Vivo,MPB4,spotify:track:6XQ5hFIHKnSWRNEsAvz1dl,0.501,0.741,9,-8.717,0,0.0728,0.649,0.00214,0.615,0.624,116.444,261732,4,34.30148,13,0,70s,10649
He Was Despised And Rejected Of Men,London Philharmonic Orchestra,spotify:track:3MA6DcIgzt0DknhPb25Yz4,0.259,0.354,3,-15.129,1,0.0467,0.37,0.324,0.0914,0.109,81.109,334840,4,25.6156,16,0,90s,28321
Good Time Music,The Beau Brummels,spotify:track:0mHrd0du7cKkFjswuhCOff,0.359,0.939,6,-5.796,0,0.173,0.72,0.0,0.368,0.546,183.807,181828,4,48.91631,8,1,60s,2674
Albtraum,Slime,spotify:track:3aX91W3YjctFmddWCJXpXy,0.282,0.984,0,-4.711,1,0.169,0.00466,0.00185,0.735,0.175,112.375,179413,4,50.64747,8,0,80s,16970
Do Or Die Bed Sty,Divine Sounds,spotify:track:0y9w3n32MNzKyCEXW1GFMt,0.892,0.751,1,-9.592,1,0.18,0.0134,0.0,0.0734,0.843,101.331,228401,4,57.60025,8,0,80s,17866
Can't Stop Falling Into Love,Cheap Trick,spotify:track:1HSV3wfPeq8fp0uAJ2rZ4Q,0.648,0.676,6,-11.587,0,0.0275,0.0535,0.0,0.0877,0.854,107.647,229680,4,22.67959,11,1,90s,24957
Let's Fly Away,"Bobby ""Boris"" Pickett",spotify:track:2ZMSYq8S6vlsMw1XtQ87XN,0.479,0.171,5,-18.931,1,0.279,0.902,3.09e-05,0.0924,0.404,123.415,45173,3,13.71238,3,0,60s,8585
Revolte,Urban Blight,spotify:track:2uZTTNGsXjdZFYpr86b6PR,0.457,0.933,2,-6.666,1,0.13,0.042,0.128,0.0796,0.225,129.36,171933,4,49.46268,8,0,10s,37813
Mentira,Luis Miguel,spotify:track:6rEcqWbKCCVz0U5kfYbCCZ,0.71,0.921,5,-5.553,1,0.121,0.51,0.0,0.408,0.906,112.038,177465,4,59.73134,7,0,90s,27968
"The Wind - From ""Sing"" Original Motion Picture Soundtrack",Yusuf / Cat Stevens,spotify:track:5qD9xGtes8gtSrPRF6qW48,0.769,0.258,2,-15.175,1,0.0418,0.923,0.0486,0.111,0.806,115.782,103813,4,30.78393,6,0,10s,39354
Secolo XX°,Arawak,spotify:track:3BFO6NLwBtcIHspg5EiHhg,0.207,0.205,1,-18.937,1,0.0326,1.67e-05,0.961,0.11,0.0368,197.18,184653,4,50.76848,9,0,70s,14131
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",spotify:track:6H2wnX7ytNeCKERIVqCwgs,0.592,0.944,7,-2.94,1,0.111,0.043,0.0,0.365,0.574,124.42,249547,5,35.67116,13,1,10s,37119
Guds Fortapelse - Apenbaring Av Dommedag,Urgehal,spotify:track:02gjq46zkypseCglLdQsw2,0.155,0.936,9,-6.239,1,0.0777,1.43e-06,0.151,0.232,0.111,106.89,277000,4,22.26619,12,0,00s,33035
Promised Land,Chuck Berry,spotify:track:2lDArps4owX3Q6rOIA4Osp,0.477,0.895,0,-6.63,1,0.0586,0.723,0.0,0.791,0.963,167.201,143307,4,36.42026,8,1,60s,1666
One Of A Kind (Love Affair),The Spinners,spotify:track:3LV2CK8sJiYjg1bV1aHQop,0.608,0.428,1,-11.625,1,0.109,0.263,0.0,0.093,0.881,176.735,214146,4,30.49976,9,1,70s,14331
It Is Well (Live),Bethel Music,spotify:track:5t0izTLPeWYLiIfHPJbORJ,0.282,0.251,4,-10.648,0,0.0315,0.699,1.47e-05,0.11,0.11,129.826,385053,4,41.27381,14,0,10s,40268
TOBIUME,Susumu Yokota,spotify:track:5JpfGKhIFJqGYdTf8wlr8q,0.241,0.254,6,-17.03,1,0.0416,0.994,0.88,0.0639,0.0378,138.97,278693,5,33.33994,13,0,90s,26873
In Your Soul,Corey Hart,spotify:track:07IPCjbO0uTagS8ZxZevcK,0.666,0.58,9,-11.297,1,0.0289,0.372,1.28e-05,0.0644,0.829,126.965,236560,4,27.88335,11,1,80s,17276
So You Win Again,Hot Chocolate,spotify:track:1tMi57U5Nkk6qRZSNwbzQr,0.706,0.538,9,-9.188,1,0.0406,0.527,0.143,0.388,0.815,104.899,271427,4,46.25552,11,1,70s,8826
Throw It Up featuring Pastor Troy,Lil Jon & The East Side Boyz,spotify:track:0RGEQZt56cK8cxr2QdG4Ih,0.698,0.592,3,-3.197,1,0.0929,0.0453,0.0,0.331,0.107,145.977,372973,4,27.03724,16,0,10s,34857
Short Tales Of The Black Forest,Al Di Meola,spotify:track:0Zids10oWs3VKYyeXCjn9e,0.397,0.288,2,-16.114,1,0.0325,0.905,0.871,0.0751,0.393,136.842,340467,4,37.96183,16,0,70s,11748
Snowbound For Christmas,Jackie Gleason,spotify:track:3IU2ACqDGgSvjjNVIKNLFR,0.182,0.179,7,-14.136,1,0.0336,0.901,0.907,0.225,0.0706,141.147,200388,4,23.42677,13,0,10s,36609
Woll'n Heimgehn,Traditional,spotify:track:7JetpHtW997IGJ3f8fx5x3,0.287,0.032,5,-23.385,1,0.0338,0.827,0.0,0.0986,0.146,69.651,64440,3,15.07484,3,0,60s,8473
Nobody Else But You,Trey Songz,spotify:track:1HOUzEsetdIPSpAgRPhZQt,0.708,0.612,5,-6.379,0,0.122,0.0381,0.0,0.277,0.263,139.913,229013,4,32.22175,10,1,10s,35562
Malwayee Giddha,Sarabjit Cheema,spotify:track:3WQ8p2lPUdTjoc7TLdqOln,0.717,0.483,10,-6.256,1,0.145,0.492,0.0,0.0924,0.758,121.474,684040,4,37.61971,28,0,00s,34319
The Man With The Golden Arm,Elmer Bernstein,spotify:track:11VB3CXGmhVSWqjZYG8lMt,0.522,0.472,5,-15.066,0,0.0494,0.52,0.896,0.11,0.704,122.976,170867,4,20.47968,7,0,60s,2808
Lover,Taylor Swift,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4,69.35088,11,1,10s,36854
Eight Second Ride,Jake Owen,spotify:track:0XjXQDJpajDzCdpazp1562,0.645,0.843,0,-4.072,1,0.0475,0.104,0.0,0.249,0.534,92.357,187320,3,21.82305,6,1,10s,39723
Echoes Of Love,The Doobie Brothers,spotify:track:2uuoyQcrxDGU2lLo19lMtP,0.613,0.513,9,-10.773,1,0.0599,0.658,0.0,0.0654,0.635,132.11,178027,4,42.83271,7,1,70s,13910
Wipe Out,The Surfaris,spotify:track:4anUinKv803lyDD1vaSXhU,0.336,0.636,0,-13.785,1,0.0374,0.385,0.909,0.414,0.521,152.423,157760,4,33.93086,8,1,60s,1139
Sajna Kahe Bhool Gaye (Without Rap),Bally Sagoo,spotify:track:5SjAWBLg7RwELRIv0SGQqU,0.671,0.646,6,-8.027,0,0.0598,0.0211,0.000645,0.179,0.449,80.984,272413,4,43.6933,9,0,00s,31446
Youssef,Mon Cote Punk,spotify:track:1kCMLwAej7hc3ORkS2J5tg,0.679,0.891,7,-4.659,0,0.107,0.686,0.0,0.0799,0.941,99.56,283387,4,17.90914,12,0,10s,36103
Low Desert Punk,Brant Bjork,spotify:track:7xxkaZADoO4sHbvjebXjij,0.375,0.588,1,-10.568,0,0.0392,0.000257,0.917,0.261,0.0854,113.495,321360,4,29.29312,12,0,90s,25069
Moiré - Piano & Organ,Jan Jelinek,spotify:track:0R6sHxjN04nAgEW0jgqLbU,0.463,0.222,5,-18.379,1,0.21,0.692,0.876,0.0975,0.194,175.732,414440,4,47.73795,16,0,00s,33558
Handshake (Never Trust Relationship Advice from the Lead Singer of a Pop-Punk Band),Sledding With Tigers,spotify:track:3YGn7qjB6PfFuQqp9J94Wb,0.592,0.727,9,-5.253,1,0.0455,0.432,0.0,0.0514,0.711,92.421,94922,4,42.96684,3,0,10s,40124
I Won't Give Up,Jason Mraz,spotify:track:53QF56cjZA9RTuuMZDrSA6,0.585,0.303,4,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,240166,3,46.165,10,1,10s,40281
Mannavan Vanthanadi,P. Susheela,spotify:track:5wcrkGnZsXWlMJGIWn6rKP,0.434,0.466,11,-16.596,0,0.129,0.988,0.9,0.135,0.652,100.928,435267,4,22.73814,16,0,60s,7193
Not Right,The Stooges,spotify:track:0lcuhtx0HtZeWFUYFqIi5P,0.285,0.618,11,-10.811,0,0.0322,0.0519,0.148,0.0548,0.656,149.73,171133,4,31.10224,9,0,60s,3547
If You're Reading This,Tim McGraw,spotify:track:3opmoDn4nG2eZWPjI8B7Bg,0.305,0.304,11,-8.383,1,0.0285,0.823,0.0,0.67,0.341,145.49,252720,4,56.67443,13,1,00s,30325
"I Surrender, Dear",Aretha Franklin,spotify:track:6Y3RU7srd76PTBlYBurbYS,0.31,0.414,9,-11.363,0,0.0734,0.693,3.21e-05,0.42,0.481,179.77,164667,3,66.29284,8,1,60s,2690
Space Mystery,Raymond Scott,spotify:track:7q9KNj3ByykO6mJ8fzWELu,0.318,0.227,6,-18.578,1,0.0719,0.913,0.388,0.453,0.0344,103.974,311640,1,38.7038,15,0,00s,34650
Roadhouse Blues,Imperiet,spotify:track:5duxPOkWSFRZBDPoyO3JXX,0.554,0.911,9,-7.714,1,0.0696,0.0619,1.72e-05,0.872,0.607,127.148,248133,4,54.51084,11,0,80s,22909
Improvisation #4,NRG Ensemble,spotify:track:6g2cLRrOtVzJnXk968rE7X,0.218,0.0141,3,-26.224,1,0.0384,0.93,0.00436,0.112,0.0545,137.608,66240,1,32.3112,4,0,90s,24815
What A Difference You've Made In My Life,Ronnie Milsap,spotify:track:4sxet9Zdu2Z9hdhAKbjlNI,0.419,0.484,5,-11.618,1,0.0278,0.405,0.000216,0.21,0.393,96.222,241080,4,36.68271,10,1,70s,14077
Bounce Back,Big Sean,spotify:track:0SGkqnVQo9KPytSri1H6cF,0.78,0.574,1,-5.628,0,0.141,0.104,0.0,0.129,0.273,81.502,222360,4,56.74282,8,1,10s,39246
"Puccini: Manon Lescaut, Act III: Intermezzo",Giacomo Puccini,spotify:track:7xZ3JBEyOQ7XsFEpP3m3VK,0.0695,0.145,1,-16.306,0,0.0445,0.962,0.896,0.282,0.0366,75.784,322173,4,44.20411,16,0,60s,3759
Promentory,Trevor Jones,spotify:track:0l4seNH8AyE2kvjxFfpWi1,0.183,0.235,2,-17.632,0,0.0366,0.000117,0.857,0.136,0.037,107.603,373173,4,33.3797,22,0,90s,23630
Soléa,Ramon Montoya,spotify:track:3NkAxsToH45HNfoKFXmEJB,0.278,0.163,2,-24.669,1,0.0364,0.927,0.871,0.082,0.472,141.024,268000,4,29.94627,15,0,80s,18909
Smoky Mountain Rain,Ronnie Milsap,spotify:track:7CX9JYwpiObnYl2NzFqj4c,0.554,0.577,7,-8.62,1,0.0282,0.0165,2.91e-05,0.0719,0.479,140.277,223293,4,41.3114,8,1,80s,19913
Troubled Times,Midnight Syndicate,spotify:track:6qJINONtluEpVAG5w7XK2i,0.228,0.474,0,-17.684,1,0.0577,0.767,0.885,0.102,0.0656,111.982,277320,4,35.08391,5,0,00s,34605
What Them Girls Like,Ludacris Co-Starring Chris Brown & Sean Garrett,spotify:track:22zQIT8YePdO4f3coOHZuH,0.535,0.691,1,-5.544,1,0.355,0.149,0.0,0.159,0.813,170.013,242080,4,22.07158,10,1,00s,31671
Girlfriend,Bobby Brown,spotify:track:17CdWjw8yiJrv9q5LOOCcv,0.656,0.421,2,-12.564,1,0.0261,0.201,0.0,0.197,0.478,100.539,376360,3,70.94477,13,1,80s,21522
Rock para los Dientes,Patricio Rey y sus Redonditos de Ricota,spotify:track:4jR6F4pGMhui8B6AbW5dBb,0.469,0.957,9,-5.684,0,0.0525,0.0209,0.000106,0.151,0.524,109.212,209760,4,52.05489,10,0,80s,17540
The Unanswered Question,Charles Ives,spotify:track:4KfiC9NRCdXfPDum2Nri8D,0.0987,0.0584,0,-29.539,1,0.0433,0.9,0.945,0.212,0.0369,63.708,382800,3,40.30346,21,0,70s,13273
"Liz On Top Of The World - From ""Pride & Prejudice"" Soundtrack",Jean-Yves Thibaudet,spotify:track:6QuCKdMsTW8ppnUiFmxJLF,0.217,0.117,7,-21.398,0,0.0374,0.975,0.911,0.0573,0.0388,46.755,82773,3,26.38269,4,0,00s,31259
An Echo Of Night - 2005 Digital Remaster,Harold Budd,spotify:track:1PoRGnn6KqdOnY22gBVrzw,0.0792,0.0409,10,-28.675,0,0.0469,0.927,0.928,0.0942,0.0266,81.78,148293,4,38.72061,8,0,80s,20701
For Ladies Only,Steppenwolf,spotify:track:7midgNvQPBDf5XX6MWMy6H,0.566,0.674,2,-10.691,1,0.0322,0.0473,0.0297,0.224,0.71,127.491,216867,4,67.64934,8,1,70s,13459
I Can Make It With You,Jackie DeShannon,spotify:track:0QWHVRBV4XYd8D2X1jxgDH,0.494,0.402,7,-11.444,1,0.0276,0.559,0.000141,0.279,0.736,82.291,148533,4,28.07608,7,1,60s,5492
Punk Rock Saved My Life (2016),The Mahones,spotify:track:1PwGOaqVWu7yyksD2pADcC,0.296,0.97,9,-5.902,1,0.0628,0.000802,2.83e-05,0.0912,0.14,135.657,245027,4,33.10656,13,0,10s,38089
Metal We Bleed,Venom Inc.,spotify:track:7fRoJX8uqW4dUmtlL7KQhV,0.418,0.993,6,-4.556,0,0.0767,8.45e-06,0.0613,0.31,0.232,139.985,317360,4,45.355,17,0,10s,38532
Mockingbird,Aretha Franklin,spotify:track:6IOD0OTFbUK4gaz74sLQNL,0.666,0.537,5,-8.596,1,0.0452,0.784,0.0,0.632,0.784,122.512,153507,4,26.41489,10,1,60s,4329
Friend And A Lover,The Partridge Family Starring Shirley Jones Featuring David Cassidy,spotify:track:4hjekX0fCYPv4PNeYpV1GW,0.631,0.844,9,-6.954,1,0.0302,0.519,0.0128,0.0661,0.735,106.429,152400,4,20.55849,7,1,70s,16332
Lucky,Eye To Eye,spotify:track:7gxTEzEkLPe5El51hlUxkz,0.655,0.79,10,-7.384,1,0.0482,0.12,0.000775,0.367,0.721,145.938,243053,4,20.21116,15,1,80s,16555
The Night,The Animals,spotify:track:4AeH1nSZaqRliKLqEohH9c,0.562,0.761,9,-10.881,0,0.0452,0.0291,7.57e-06,0.243,0.625,142.223,235507,4,37.28656,12,1,80s,20755
Runaway Love,Ludacris Featuring Mary J. Blige,spotify:track:3QnEp4rluCxUwgpXT43jmC,0.405,0.721,1,-6.97,1,0.284,0.329,0.0,0.252,0.816,92.855,280680,4,60.10273,11,1,00s,34597
Boondocks,Little Big Town,spotify:track:3duP6mBVDsHM8ioN7o7dAK,0.41,0.78,9,-5.391,1,0.0332,0.211,0.0,0.48,0.695,88.016,272347,4,36.71108,6,1,00s,30926
In Lara's Bedroom (Lara's Theme),Maurice Jarre,spotify:track:5jDbwyKFrtiUP08B1Q2P2m,0.261,0.155,4,-22.029,0,0.0372,0.549,0.0274,0.231,0.457,82.724,32000,3,10.33275,3,0,60s,1565
Leader Of The Pack,Twisted Sister,spotify:track:7eH6DXZt1hWbUWkRV7rade,0.604,0.592,8,-13.002,1,0.0347,0.0108,1.08e-06,0.194,0.376,127.905,225280,4,29.01577,12,1,80s,17287
The Girl I Used To Know,Brother Beyond,spotify:track:2v2v8k9ZVayB5b56MSvZ6b,0.465,0.886,1,-9.477,1,0.0807,4.64e-05,0.0271,0.325,0.954,185.595,254642,4,37.72739,11,1,90s,27635
Something Better To Do,Olivia Newton-John,spotify:track:7x7eiPhnwODlzKrm4fupzW,0.675,0.352,0,-8.834,1,0.0317,0.582,8.35e-05,0.107,0.421,107.355,195067,4,30.77052,10,1,70s,16264
Shaftesbury Avenue,Momus,spotify:track:41G26IELXrx2bxgmivHeU7,0.7,0.565,11,-12.445,0,0.0585,0.0419,0.00185,0.068,0.56,136.778,358733,4,29.98707,14,0,80s,17472
Tendu - Turkish March for Ballet Class,Ballet L'école,spotify:track:7g9B2Tclp57gucfCjPoc3h,0.572,0.201,2,-19.575,1,0.0525,0.982,0.894,0.084,0.677,111.621,141010,4,56.04865,5,0,10s,37459
John Henry,Ronnie Hawkins,spotify:track:2D3BHWS11JGmEDheIcOKJf,0.567,0.586,4,-9.922,1,0.0392,0.766,0.0,0.246,0.964,150.418,121173,4,43.16404,6,0,60s,3146
Take You There,Pete Rock & C.L. Smooth,spotify:track:40AbVw7NEu78pgafTWKZxJ,0.746,0.516,7,-10.643,1,0.246,0.0371,0.000736,0.228,0.565,94.955,284533,4,23.67054,11,1,90s,26987
Italia,Harry Rabinowitz,spotify:track:5NQjUMIiFiNkNgjroLHgc0,0.133,0.111,5,-20.037,1,0.0341,0.818,0.582,0.104,0.0772,68.535,97360,3,18.76857,7,0,90s,26368
Evey Reborn,Dario Marianelli,spotify:track:3TJTQ8coHzyTVpDl09wZHG,0.0736,0.0992,5,-17.863,0,0.0456,0.87,0.917,0.206,0.0291,80.369,230653,4,42.10951,7,0,00s,32819
Faded Pictures,Case & Joe,spotify:track:1CAw3ethNuSDPf3E7luSFF,0.705,0.511,6,-7.422,0,0.202,0.125,1.72e-06,0.153,0.581,82.011,229773,4,48.31709,10,1,90s,23674
Shark In The Water,V V Brown,spotify:track:0BLPuaA32HDg6AJTUT4WMl,0.554,0.805,4,-3.128,1,0.0597,0.0279,0.0,0.359,0.697,98.981,184293,4,59.41567,5,0,00s,34124
If I Ever,Red Flag,spotify:track:3WzDotJIhwBWK2DzVQS7G9,0.556,0.861,0,-9.937,1,0.0613,0.0957,0.0807,0.0783,0.765,120.267,207933,4,68.09721,7,0,80s,21168
Only Shallow,My Bloody Valentine,spotify:track:52UcjsM15hjCQAUbTW2hy1,0.138,0.691,0,-7.976,1,0.0443,0.000377,0.786,0.0895,0.36,170.342,257520,4,44.77911,13,0,90s,26189
Philly Dog,Herbie Mann,spotify:track:0RlrRftZDNtuHYX7VGWr1Z,0.685,0.653,3,-11.079,1,0.0517,0.6,0.0618,0.251,0.966,144.213,146720,4,49.81499,6,1,60s,4047
Un Amor Especial,Maria Dolores Pradera,spotify:track:3vNNEg82rbtvRPW5HGgoNr,0.554,0.0869,4,-17.425,0,0.0747,0.922,0.00845,0.194,0.281,108.049,145960,4,71.37734,5,0,60s,1076
The Little Black Egg,The Nightcrawlers,spotify:track:3jwPIp1n8YrKcEpKB4PJoT,0.513,0.8,9,-9.556,1,0.0302,0.00751,0.00272,0.166,0.96,120.976,208613,4,52.69084,9,1,60s,4094
Fade Away,Dayne S,spotify:track:7wMohIgfzKwCxaw6hUQNUG,0.788,0.592,6,-9.654,0,0.0466,0.00738,0.277,0.109,0.663,121.999,379074,4,47.70647,17,0,10s,39052
Yèkatit (February),Mulatu Astatke,spotify:track:7HgzlseMsAGrRH0bQCb7wL,0.674,0.543,5,-10.978,1,0.0395,0.583,0.415,0.0822,0.835,86.438,237813,4,92.68759,7,0,90s,27396
Memorize Your Number,Leif Garrett,spotify:track:6ZOMtAejDpbIRHXgahSKPY,0.782,0.418,9,-14.367,0,0.469,0.017,0.0,0.0868,0.893,140.936,167960,4,36.52305,8,1,70s,10866
Jam On It,Newcleus,spotify:track:1lB2kyB5h9ceZ388GBfC9L,0.804,0.782,6,-6.224,0,0.0606,0.00302,0.0872,0.662,0.346,116.806,383600,4,50.52838,17,1,80s,17658
Let's Ride,The Game,spotify:track:4JKwW0A2OQeAUpYZd99Lfo,0.878,0.739,5,-5.157,1,0.189,0.169,0.0,0.119,0.824,93.601,237680,4,44.65841,10,1,00s,29854
